cruises,Julian,Lon,Lat,Ps.nitzschia.delicatissima,Ps.nitzschia.seriata,Leptocylindricus.minimus,Leptocylindricus.danicus,Leptocylindricus.mediterraneus,Porosira,Dactyliosolen,Proboscia,Rhizosolenia.hebetata,Rhizosolenia.styliformis,Rhizosolenia.setigera,Thalasiossira,Thalassiossira.anguste.lineata,Thalasiossira.nordenskioeldii,Thalasiossira.rotula,Cylindrotheca,Chaetocerous.subtilis,Chaetocerous.socialis,Chaetocerous.debilis.curvisetus,Chaetocerous.furcaletta,Chaetocerous.mitra,Chaeotocerous..coastal.,Chaeotocerous..oceanic.,Plagiotropis,Corethron,Coscinodiscus,Bacteriastrum,Brockmanniella,Eucampia,Centric..20um,Navicula.pelagica,Navicula,Thallassionema,Synedropsis,Licmophora,Fragillariopsis,Melosira,Bacillaria,Skeletonema,Attheya,Paralia,Nitzchia.frigida,Entomoneis,Guinardia.striata,Pleurosigma.Gyrosigma,Fossula.sp.,Entomonies.sp.,Ceratulina,Detenola,Odontella.sp.,Syndrea,Ceratium.fusus,Ceratium.furca,Ceratium.Longipes,Ceratium.Tripos,Dinophysis.acuta,Dinophysis.rotundata,Dinophysis.norvegica,Dinophysis.sp.,Alexandrium.tamarense,Alexandrium.sp,Prorocentrum.minimum,P.micans,Peridinium.sp,Protoperidinium.stenii,Protoperidinium.depressum,Protoperidinium.granii,Protoperidinium.bipes,Protoperidinium.brevie,Protoperidinium.sp,Gonyaulax.sp,Scrippsiella,Heterocapsa,Karenia.mikimotii,Gymnodinium..20um,Gymnodinium..20um.1,Gyrodinium..20um,Gyrodinium..20um.1,Gyrodinium.lachryma,Gyrodinium.spirale,Gyrodinium.fusiforme,Oxytoxum,Katodinium,Azadinium.type,Sillica.Flagellate,Protoceratium.reticulatim,Torodinium,Amphidinium,Micracthatinium,Pronoctiluca.pelagica,Karlodinium,Fragilidinium,Diplopsalis,Large.unknown...unarmoured.dino,Strombidium..50um,Strombidium..50um.1,Laboea,Mesodinium,Lohmaniella,Tinntinid,Leegardiella,Certostrombidium,Didium,Strobilidium,Holotrich,Broken,Small_PNAN_per_ml,Big_PNAN_per_ml,Small_HNAN_per_ml,Big_HNAN_per_ml
Summer_2018,169,30.14443,82.59166,45904.3386532041,3313.98208114268,0,0,4235.5403805452,0,0,0,0,0,0,3579849.23597347,3174611.22230741,5071911.77498599,5810437.66400274,207081.570719458,0,23968020.6296341,0,40995.3309214218,0,62930.8893966912,0,0,0,0,0,0,219901.65765436,0,229172.683907657,729927.21865611,154196.543399588,0,0,7892561.80322358,0,0,0,0,0,1390035.47252312,42438.220954116,0,293481.050880945,0,0,0,883781.867888262,0,0,0,0,0,0,0,0,0,0,0,0,16102.8968008239,0,728746.773462841,0,0,0,30466.2220901326,0,92970.7918780786,0,0,0,0,1967037.79307278,15870995.8625993,0,149556.666259244,236740.909198306,0,163567.215625683,9233.10487604332,145434.133281776,0,5261.52375104105,0,0,0,54374.9410964415,0,0,0,0,6265130.42212351,749033.796041855,901486.147870743,0,3709379.94665003,120148.55358406,0,1093271.65070555,409699.024945462,326625.415895197,4095391.03781082,126585.10641149,3167988.17344196,2583209.7843735,35413276.6033235,2748186.63123975,5554457.75485015
Summer_2018,171,31.07706,81.45836,11233.9731725141,6627.96416228536,0,0,0,0,0,0,0,0,0,726736.311062284,0,2372964.39377889,264971.098684164,59552.8700108245,0,1267482.53517519,66627.1301047635,4647230.71325238,86104.9791192864,135184.873518818,0,0,0,0,0,0,67662.0485090337,0,0,40854.1353725435,0,0,0,637742.426407573,0,8120.80720007582,0,2784.07229468072,0,25505.2380279471,424382.20954116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126738.569297885,0,0,0,0,0,278912.375634236,0,0,0,0,186949.872895347,925340.748172753,10888.1203235002,109674.888590112,0,0,1112257.06625464,64631.7341323033,43630.2399845327,0,0,0,0,0,0,0,22517.1356871294,0,0,4072334.77438028,6099275.19634082,0,1631782.49418271,1682959.42023937,230284.727702782,130787.156542028,1020386.87399185,0,0,4550434.48645647,126585.10641149,1583994.08672098,13232117.8283272,8859193.94787852,11204408.104011,3463367.77655362
Summer_2018,173,18.45155,81.26324,211508.598351472,0,0,0,0,0,0,0,0,0,0,1413098.38262111,0,536913.155764112,18926.5070488689,2706.94863685566,0,0,0,60673.0897637043,325285.47667286,498785.567810812,67548.8408586494,0,0,0,0,0,0,0,0,5447.21804967246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73674.955799396,0,50327.634368557,0,294838.020302055,48308.6904024717,0,887169.985085198,0,1618262.06818326,0,91398.6662703977,0,2324269.79695197,0,196433.470647695,0,0,0,2663859.72958823,19054.2105661253,69793.1109209806,0,0,2911496.43813716,36932.4195041733,79988.7733049767,0,3507.68250069403,156428.282015244,0,0,217499.764385766,0,45034.2713742588,118165.097300434,0,6108502.16157042,963043.452053814,3831316.12845066,12510332.4554007,789960.544193988,0,392361.469626083,1166156.42741925,0,653250.831790395,4095391.03781082,0,4593582.85149084,8369884.87632333,30266954.3895692,7257943.82362198,7906933.98043373
Summer_2018,178,30.00149,77.54955,0,0,0,0,0,0,0,0,0,0,0,861317.109407151,0,28763.2047730774,0,104217.522518943,0,0,0,3568233.60340056,0,11653.8684067947,0,0,0,0,0,0,2977130.13439748,0,49108.4322659266,89879.0978195956,0,0,0,394095.528635995,0,8120.80720007582,0,0,0,60574.9403163744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491396.700503425,37573.4258685891,0,4245742.07147916,220964.332416865,0,0,83782.1107478646,0,883222.522841747,0,229172.382422311,0,0,178821.617552071,729056.3470452,13610.1504043752,39881.7776691318,0,0,2747929.22251147,36932.4195041733,152705.839945865,0,12276.8887524291,0,18984.7057791256,14240.671358527,217499.764385766,0,67551.4070613883,0,0,469884.781659263,6077874.23073962,0,815891.247091353,1442536.64591946,30037.1383960151,784722.939252167,655962.99042333,0,0,0,0,5227180.48617924,3552804.62524231,18681854.6115741,3028126.1390182,3659407.46201892
Summer_2018,179,30.00013,77.00004,47260.163001611,0,0,0,0,0,0,0,20567.7404871445,0,0,955523.668248559,0,0,0,78501.5104688141,0,0,0,0,0,30300.0578576662,0,0,0,0,0,0,0,0,0,2723.60902483623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73674.955799396,0,0,0,0,0,0,174265.532784592,55241.0831042163,1618262.06818326,0,0,0,464853.959390393,0,0,0,0,162565.106865519,1878722.12507801,35386.3910513756,49852.2220864147,0,0,588841.976252459,0,123619.013289509,0,0,0,0,0,18124.9803654805,0,0,0,0,626513.042212351,470821.243226309,0,815891.247091353,446499.438022689,0,261574.313084055,947502.097278143,0,0,0,42195.0354704967,0,6977280.52154608,22465223.9102701,5421267.5408804,3136634.96744479
Summer_2018,180,29.99991,76.50004,51521.3252394612,159071.139894849,17024.1915846686,13369.546737384,0,0,0,562063.948118332,1275199.91020296,0,0,13458.0798344867,0,0,85169.2817199098,92036.2536530924,0,0,81433.1590169332,0,47836.0995107147,233077.368135893,3363932.27476074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865109.45944214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73674.955799396,0,0,0,589676.04060411,0,0,31684.6423244714,165723.249312649,3236524.13636652,0,0,134105.655907046,650795.54314655,0,507453.132506546,0,0,73154.2980894835,336487.544790092,5444.06016175009,0,0,0,163567.215625683,18466.2097520866,72717.0666408879,0,0,0,0,0,18124.9803654805,0,698031.206301012,0,474669.245407792,5795245.64046424,1754879.17929806,2253715.36967686,2447673.74127406,961691.097279638,0,261574.313084055,510193.436995923,0,0,1820173.79458259,0,6811174.57290022,2915913.89643632,30431448.7069037,4267370.54540333,5815844.00213721
Summer_2018,181,30.00157,74.50004,118150.407504028,3313.98208114268,0,120325.920636456,0,0,0,62451.5497909257,246812.885845734,0,0,148038.878179354,0,0,0,180012.084350901,0,0,0,0,0,81577.0788475627,60793.9567727845,95464.7249523767,0,0,0,0,0,79285.2452436718,0,258742.857359442,0,0,0,0,0,24362.4216002275,0,4872.12651569126,0,0,0,103163.91958208,0,0,0,524012.419628337,0,0,0,0,0,0,0,0,0,192607.749861655,201310.537474228,0,393117.36040274,402572.420020598,0,221792.496271299,220964.332416865,0,0,228496.665675994,0,650795.54314655,0,180064.014760387,0,0,56897.7874029316,252365.658592569,2722.03008087505,39881.7776691318,0,0,556128.533127322,0,116347.306625421,11747.6364143738,5261.52375104105,0,246801.175128632,0,36249.960730961,0,0,0,0,0,363816.41522033,2028343.83270917,1087854.9961218,1030383.3185139,20024.7589306767,261574.313084055,145769.553427407,819398.049890925,0,5460521.38374777,42195.0354704967,2851189.35609776,3491016.71871635,37011221.4002883,2468247.12346129,1829703.73100946
Summer_2018,183,29.9998,75.49999,93745.5692327038,1027334.44515423,98977.8580503989,581575.283076205,0,0,0,312257.748954629,4648309.35009466,0,0,13458.0798344867,0,0,0,143468.27775335,0,0,0,0,0,48946.2473085376,628204.21998544,0,0,0,0,0,0,0,0,16341.6541490174,0,0,0,0,0,0,0,2289837.35614678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96303.8749308273,0,0,1277631.42130891,32205.7936016478,0,0,0,6473048.27273304,0,0,0,883222.522841747,0,196433.470647695,0,0,121923.830149139,392568.802255107,0,9970.44441728294,0,0,457988.203751913,36932.4195041733,29086.8266563552,11747.6364143738,0,0,94923.5288956279,0,0,0,0,0,94933.8490815585,4228963.03493337,663429.933637072,0,1903746.24321316,5151916.59256949,0,130787.156542028,728847.767137033,409699.024945462,0,6825651.72968471,0,3326387.58211406,955336.093208967,5075824.64918239,648640.322901308,914851.865504732
Summer_2018,166,18.46036,81.91604,264579.43713197,0,0,0,0,0,0,0,0,0,0,1924505.4163316,0,5867693.7737078,1693922.38087376,1353.47431842783,0,3950091.17823106,203582.897542333,569015.193189335,440092.115498575,0,0,0,0,0,0,0,73300.5525514532,0,0,51748.5714718884,0,0,0,21302.4610073511,0,0,0,2088.05422101054,0,98832.7973582952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48308.6904024717,0,142580.890460121,0,0,0,38082.7776126657,402316.967721137,92970.7918780786,0,0,0,115281.560627182,56897.7874029317,224325.029860061,8166.09024262513,79763.5553382635,0,0,0,27699.31462813,247238.026579019,0,1753.84125034702,0,0,0,0,0,157619.949809906,0,0,156628.260553088,5435845.26270375,0,0,1133421.65036529,480594.214336241,130787.156542028,3644238.83568517,1638796.09978185,0,1820173.79458259,0,4435183.44281875,5223454.55938633,14381503.1726834,4018156.10555179,1829703.73100946
Summer_2018,169,30.14443,82.59166,10652.9055946254,0,0,0,0,0,0,0,0,0,0,3216481.08044233,1298704.59094394,6155325.82143857,2081915.77537557,43311.1781896906,0,22772939.2685997,0,137744.311895977,86104.9791192865,0,0,0,0,0,0,40549.8952645626,169155.121272584,0,321933.055965519,163416.541490174,219121.403778362,0,0,3773198.40592706,0,0,0,3480.0903683509,0,886307.021471163,21219.110477058,0,39130.806784126,0,0,0,90644.2941423858,0,20520.4761702969,0,0,0,0,0,0,0,0,0,0,48308.6904024717,0,332688.744406949,0,0,0,15233.1110450663,0,0,0,32738.9117746159,0,0,89410.8087760356,2607778.47212321,35386.3910513756,1565359.77351342,0,0,163567.215625683,0,247238.026579019,0,7015.36500138807,0,0,14240.671358527,54374.9410964414,0,0,0,0,1409654.34497779,834637.658446639,450743.073935371,0,1648613.30962224,150185.691980075,0,510193.436995923,0,0,0,0,1267195.26937678,2806596.83104425,35530772.5442768,2942778.72811014,3659407.46201892
