oxy,salinity,sigmatheta,temp,strat_depth,Ammonium,Silicate,TON,PAR,Depth,Lon,Lat,cruises,Julian
102,33.975,27.348,-1.797,13,0.4,0.609090909090909,4.47272727272727,2.02999217537785,2,30.14443,82.59166,Summer_2018,169
110.23,34.178,27.469,-0.557,36,0,0.1,0.3,1.56454771175595,2,31.07706,81.45836,Summer_2018,171
110.48,34.798,27.721,3.031,27,0,0.9,0.3,2.07426774255336,2,18.45155,81.26324,Summer_2018,173
109.31,34.163,27.409,0.391,13,0.18,0.08,0.4,1.96241669344575,2,30.00149,77.54955,Summer_2018,178
102.86,34.931,27.698,4.312,27,0.80625,0.3,0.21875,2.29052430843669,3,30.00013,77.00004,Summer_2018,179
103.99,34.943,27.718,4.213,34,0,0,0.4,2.069816042572,2,29.99991,76.50004,Summer_2018,180
97.16,35.004,27.568,5.905,345,1.6,0.3,1.8,2.28467883124167,2,30.00157,74.50004,Summer_2018,181
99.38,35.006,27.72,4.647,46,0.9,0.068571428571429,0.531428571428571,1.56784945057311,3,29.9998,75.49999,Summer_2018,183
105.3,34.111,27.434,-1.035,29,0.007692307692308,0.223076923076923,0.461538461538462,0.755874855672491,27,18.46036,81.91604,Summer_2018,166
101.98,33.989,27.359,-1.796,13,0.3,0.596774193548387,4.49354838709677,1.25478968739721,10,30.14443,82.59166,Summer_2018,169
108.19,34.254,27.538,-0.729,36,0.3,0.1,1.6,0.611723308007342,22,31.07706,81.45836,Summer_2018,171
108.03,34.351,27.596,-0.271,13,0.201324503311258,0.317218543046358,0.778145695364239,0.230448921378274,35,30.00149,77.54955,Summer_2018,178
103.98,34.946,27.739,4.041,27,1.55274725274725,0.232967032967033,1.03956043956044,0.970346876230093,27,30.00013,77.00004,Summer_2018,179
104,34.944,27.72,4.208,34,0,0,0.4,1.10105935490812,20,29.99991,76.50004,Summer_2018,180
98.59,35.004,27.57,5.894,345,1.7,0.3,1.8,1.04178731897175,29,30.00157,74.50004,Summer_2018,181
99.76,35.005,27.721,4.641,46,0.9,0.1,0.6,0.807535028068853,20,29.9998,75.49999,Summer_2018,183
108.55,34.652,27.577,3.324,17,1.1,1.1,1.87,2.32746110930314,3,18.16632,74.36648,Summer_2017,216
105.61,34.839,27.291,7.01,29,0.4,0.4,0.72,2.93107629695068,3,16.83342,76.0001,Summer_2017,215
106.24,34.136,27.073,4.253,16,0.1,0.1,0.16,2.11770206120931,3,21.00184,76.36612,Summer_2017,195
106.33,34.78,27.562,4.464,25,0.1,0.2,0.44,2.14426277376199,3,26.00176,75.50024,Summer_2017,196
107.18,35.011,27.477,6.644,15,0.4,0.1,0.53,2.59443675112677,3,30.00034,74.46658,Summer_2017,198
103.1,34.14,27.045,4.541,26,0.194736842105263,0.021052631578947,0.460526315789474,2.53004593842739,3,30.287,76.4994,Summer_2017,211
114.32,32.213,25.897,-1.084,4,0.3,0.2,0.33,2.3946792755451,3,30.00076,78.21434,Summer_2017,200
104.42,33.487,26.942,-1.462,11,0.4,2.1,3.8,2.2887856124025,3,29.91598,80.1521,Summer_2017,203
112.45,33.224,26.729,-1.49,34,0.1,0.1,0.38,2.65735229635022,3,29.5065,81.4018,Summer_2017,206
104.31,35,27.183,8.596,26,0.3,1.9,11.01,1.19395897801919,25,19.25012,72.63304,Summer_2017,217
108.92,34.691,27.614,3.261,17,1.1,1.1,2.09285714285714,1.23678909940929,25,18.16632,74.36648,Summer_2017,216
106.21,34.904,27.357,6.904,29,0.6,2.75,2.86,1.71708772492702,28,16.83342,76.0001,Summer_2017,215
106.46,34.783,27.57,4.412,25,0.166666666666667,0.2,0.432,1.49401537475714,15,26.00176,75.50024,Summer_2017,196
113.28,34.951,27.911,2.261,26,0.5,0.5,7.41,0.561101383649056,48,30.287,76.4994,Summer_2017,211
113.77,34.443,27.726,-1.71,4,0.8375,1.9,5.25555555555556,1.3647385550554,26,30.00076,78.21434,Summer_2017,200
109,33.968,27.337,-1.604,11,0.3,2.9,7.15,1.62603224782902,15,29.91598,80.1521,Summer_2017,203
94.29,34.08,27.422,-1.42,21,0.4,1.9,8.46,0.214843848047698,35,29.86738,81.7259,Summer_2017,207
110.76,33.275,26.77,-1.489,34,0.2,1,2.98,0.985875357308394,17,29.5065,81.4018,Summer_2017,206
99.802,34.9751,27.9826,1.6044,70.243,0.33,3.86,8.25,2.50719448543218,2.5,29.95,75.93333333,Spring_2018,120
119.066,34.2665,27.5412,-0.5709,50.463,0.098333333333333,0.073333333333333,0.178888888888889,2.45152547352459,3,16.81666667,76.01666667,Spring_2018,122
95.609,35.049,27.9195,3.0522,310.502,0.355,4.565,10.545,1.20357677497797,20,30.05,74.61666667,Spring_2018,116
99.527,34.8214,27.921,0.7076,66.3,0.34,2.52,7.79,1.63904798913487,15,30.08333333,76.2,Spring_2018,117
99.553,34.4921,27.7358,-0.8509,21.769,0.25,0.56,3.39,0.877112074173763,15,28.3,76.48333333,Spring_2018,119
100.101,34.9759,27.9846,1.5809,70.243,0.34,3.76,8.19,1.21753658277914,20,29.95,75.93333333,Spring_2018,120
