cruises,Julian,Lon,Lat,chl_c3,chl_c2,chl_c1,chld_a,pheo_a,peridinin,X19_but,fuco,neoxanthin,prasino,hex_fuco,violaxanthin,X19_hex,diadinoxanthin,dinoxanthin,myxoxanth,antheraxanthin,alloxanthin,diatox,zeaxanthin,lutein,gyroxanthin,chl_c2_MGDG,chl_b,chl_a,Phaeophytin_a,a_carot,b_carot
Summer_2018,169,30.14443,82.59166,0.075,0.574,0.145,0,0,0,0.02,1.626,0.007,0.011,0,0.007,0.042,0.181,0,0,0,0.023,0.009,0,0.002,0.003,0.025,0.049,3.962,0.048,0.007,0.065
Summer_2018,171,31.07706,81.45836,0.018,0.11,0.055,0,0,0,0.003,0.228,0.009,0.019,0,0.01,0,0.029,0,0.004,0.004,0.01,0.006,0.008,0.001,0,0.003,0.08,0.616,0.028,0.002,0.015
Summer_2018,173,18.45155,81.26324,0.101,0.105,0.074,0,0,0,0,0.435,0,0,0.026,0.031,0.037,0.036,0,0,0,0.003,0.007,0.003,0,0.003,0.034,0.018,1.28,0.035,0.002,0.02
Summer_2018,178,30.00149,77.54955,0.02,0.054,0.02,0,0,0.012,0.006,0.136,0.005,0.009,0,0.011,0.027,0.033,0,0,0.009,0.011,0.012,0.012,0.003,0,0,0.047,0.544,0,0.001,0.018
Summer_2018,179,30.00013,77.00004,0.027,0.023,0.004,0,0,0,0.002,0.059,0,0.004,0,0,0.021,0.017,0,0,0,0.002,0.004,0,0,0,0.009,0.006,0.187,0,0.001,0.004
Summer_2018,180,29.99991,76.50004,0.076,0.13,0.077,0,0,0.006,0,0.487,0.001,0,0,0.014,0.005,0.057,0,0,0,0.011,0.008,0.002,0,0,0.004,0.004,0.917,0.023,0.002,0.02
Summer_2018,181,30.00157,74.50004,0.077,0.157,0.016,0,0,0.025,0.088,0.27,0,0.012,0,0.004,0.113,0.1,0,0,0,0.036,0.017,0.004,0.001,0.003,0.022,0.024,0.855,0.026,0.005,0.016
Summer_2018,183,29.9998,75.49999,0.046,0.128,0.037,0,0,0.013,0,0.37,0,0,0,0.004,0.005,0.051,0,0,0,0.063,0.005,0.002,0,0,0.003,0.015,0.817,0.033,0.01,0.015
Summer_2018,166,18.46036,81.91604,0.171,0.333,0.066,0,0,0,0.006,0.789,0,0.015,0,0.003,0.009,0.057,0,0,0,0,0.004,0.003,0,0.003,0.038,0.016,2.175,0,0,0.031
Summer_2018,169,30.14443,82.59166,0.073,0.572,0.1,0,0,0.012,0.016,1.543,0.004,0.011,0,0.006,0.037,0.167,0,0,0,0.019,0.01,0,0,0,0.024,0.039,3.764,0.048,0.004,0.068
Summer_2018,171,31.07706,81.45836,0.041,0.137,0.091,0,0,0,0.003,0.362,0.003,0.007,0,0.004,0,0.029,0,0,0,0.008,0.003,0.003,0,0,0.008,0.032,1.016,0.039,0,0.019
Summer_2018,178,30.00149,77.54955,0.221,0.256,0.046,0,0,0.019,0.006,0.462,0.002,0,0.021,0.002,0.007,0.045,0,0,0,0.025,0.003,0.005,0,0.004,0.049,0.03,1.724,0.067,0.004,0.02
Summer_2018,179,30.00013,77.00004,0.072,0.089,0.011,0,0,0,0,0.209,0,0.007,0,0.002,0.018,0.015,0,0,0,0.002,0.001,0.001,0,0.001,0.016,0.005,0.553,0.012,0.001,0.006
Summer_2018,180,29.99991,76.50004,0.081,0.149,0.098,0,0,0.01,0,0.609,0,0,0,0.02,0.006,0.073,0,0,0,0.017,0.009,0.003,0,0,0.005,0.005,1.115,0.069,0,0.028
Summer_2018,181,30.00157,74.50004,0.101,0.185,0.021,0,0,0.026,0.108,0.333,0.002,0,0.017,0.005,0.123,0.083,0,0,0,0.036,0.007,0.003,0,0.004,0.026,0.025,0.97,0.034,0.008,0.017
Summer_2018,183,29.9998,75.49999,0.05,0.137,0.034,0,0,0.013,0,0.395,0,0,0,0.004,0.006,0.048,0,0,0,0.061,0.003,0.002,0,0,0.002,0.015,0.882,0.029,0.01,0.015
